Molen;Datum;Totale productie (kWh);Per winddeel (kWh);9 Winddelen (kWh)
De Witte Juffer;2018-03-08;25856;4,519;40,675
De Witte Juffer;2018-03-07;4639;0,811;7,298
De Witte Juffer;2018-03-06;5328;0,931;8,382
De Witte Juffer;2018-03-05;12516;2,188;19,69
De Witte Juffer;2018-03-04;12326;2,155;19,391
De Witte Juffer;2018-03-03;7182;1,255;11,298
De Witte Juffer;2018-03-02;34321;5,999;53,992
De Witte Juffer;2018-03-01;45050;7,874;70,87
De Witte Juffer;2018-02-28;23215;4,058;36,521
De Witte Juffer;2018-02-27;6250;1,092;9,832
De Witte Juffer;2018-02-26;12102;2,115;19,038
De Witte Juffer;2018-02-25;18412;3,218;28,965
De Witte Juffer;2018-02-24;26988;4,717;42,456
De Witte Juffer;2018-02-23;13146;2,298;20,681
De Witte Juffer;2018-02-22;11429;1,998;17,98
De Witte Juffer;2018-02-21;6121;1,07;9,629
De Witte Juffer;2018-02-20;3378;0,59;5,314
De Witte Juffer;2018-02-19;3594;0,628;5,654
De Witte Juffer;2018-02-18;4247;0,742;6,681
De Witte Juffer;2018-02-17;3650;0,638;5,742
De Witte Juffer;2018-02-16;8367;1,463;13,163
De Witte Juffer;2018-02-15;17128;2,994;26,945
De Witte Juffer;2018-02-14;17205;3,007;27,066
De Witte Juffer;2018-02-13;15926;2,784;25,054
De Witte Juffer;2018-02-12;13846;2,42;21,782
De Witte Juffer;2018-02-11;31515;5,509;49,578
De Witte Juffer;2018-02-10;9236;1,614;14,53
De Witte Juffer;2018-02-09;15677;2,74;24,662
De Witte Juffer;2018-02-08;3236;0,566;5,091
De Witte Juffer;2018-02-07;3910;0,683;6,151
De Witte Juffer;2018-02-06;4991;0,872;7,852
De Witte Juffer;2018-02-05;8930;1,561;14,048
De Witte Juffer;2018-02-04;10824;1,892;17,028
De Witte Juffer;2018-02-03;2950;0,516;4,641
De Witte Juffer;2018-02-02;9583;1,675;15,076
De Witte Juffer;2018-02-01;12881;2,252;20,264
De Witte Juffer;2018-01-31;25256;4,415;39,732
De Witte Juffer;2018-01-30;5852;1,023;9,206
De Witte Juffer;2018-01-29;36165;6,321;56,893
De Witte Juffer;2018-01-28;33305;5,822;52,394
De Witte Juffer;2018-01-27;15615;2,729;24,565
De Witte Juffer;2018-01-26;3040;0,531;4,782
De Witte Juffer;2018-01-25;8403;1,469;13,219
De Witte Juffer;2018-01-24;20305;3,549;31,943
De Witte Juffer;2018-01-23;20692;3,617;32,552
De Witte Juffer;2018-01-22;6997;1,223;11,007
De Witte Juffer;2018-01-21;6380;1,115;10,037
De Witte Juffer;2018-01-20;6232;1,089;9,804
De Witte Juffer;2018-01-19;9956;1,74;15,662
De Witte Juffer;2018-01-18;22622;3,954;35,588
De Witte Juffer;2018-01-17;25377;4,436;39,922
De Witte Juffer;2018-01-16;24621;4,304;38,733
De Witte Juffer;2018-01-15;30681;5,363;48,266
De Witte Juffer;2018-01-14;8813;1,54;13,864
De Witte Juffer;2018-01-13;4844;0,847;7,62
De Witte Juffer;2018-01-12;2;0;0,003
De Witte Juffer;2018-01-11;316;0,055;0,497
De Witte Juffer;2018-01-10;4803;0,84;7,556
De Witte Juffer;2018-01-09;6645;1,162;10,454
De Witte Juffer;2018-01-08;20052;3,505;31,545
De Witte Juffer;2018-01-07;22892;4,001;36,013
De Witte Juffer;2018-01-06;5660;0,989;8,904
De Witte Juffer;2018-01-05;14147;2,473;22,255
De Witte Juffer;2018-01-04;29709;5,193;46,737
De Witte Juffer;2018-01-03;29149;5,095;45,856
De Witte Juffer;2018-01-02;16644;2,909;26,184
De Witte Juffer;2018-01-01;23283;4,07;36,628
De Witte Juffer;2017-12-31;30184;5,276;47,484
De Witte Juffer;2017-12-30;34975;6,113;55,021
De Witte Juffer;2017-12-29;24285;4,245;38,204
De Witte Juffer;2017-12-28;14120;2,468;22,213
De Witte Juffer;2017-12-27;15675;2,74;24,659
De Witte Juffer;2017-12-26;30539;5,338;48,042
De Witte Juffer;2017-12-25;25426;4,444;39,999
De Witte Juffer;2017-12-24;32687;5,714;51,422
De Witte Juffer;2017-12-23;24069;4,207;37,864
De Witte Juffer;2017-12-22;622;0,109;0,979
De Witte Juffer;2017-12-21;1607;0,281;2,528
De Witte Juffer;2017-12-20;1060;0,185;1,668
De Witte Juffer;2017-12-19;4822;0,843;7,586
De Witte Juffer;2017-12-18;12370;2,162;19,46
De Witte Juffer;2017-12-17;8264;1,445;13,001
De Witte Juffer;2017-12-16;6602;1,154;10,386
De Witte Juffer;2017-12-15;4399;0,769;6,92
De Witte Juffer;2017-12-14;20081;3,51;31,59
De Witte Juffer;2017-12-13;22417;3,918;35,265
De Witte Juffer;2017-12-12;7368;1,288;11,591
De Witte Juffer;2017-12-11;8070;1,411;12,695
De Witte Juffer;2017-12-10;16476;2,88;25,919
De Witte Juffer;2017-12-09;19473;3,404;30,634
De Witte Juffer;2017-12-08;17050;2,98;26,822
De Witte Juffer;2017-12-07;33676;5,886;52,977
De Witte Juffer;2017-12-06;15366;2,686;24,173
De Witte Juffer;2017-12-05;10574;1,848;16,635
De Witte Juffer;2017-12-04;6366;1,113;10,015
De Witte Juffer;2017-12-03;5351;0,935;8,418
De Witte Juffer;2017-12-02;1110;0,194;1,746
De Witte Juffer;2017-12-01;1125;0,197;1,77
De Witte Juffer;2017-11-30;2610;0,456;4,106
De Witte Juffer;2017-11-29;2982;0,521;4,691
De Witte Juffer;2017-11-28;11908;2,081;18,733
De Witte Juffer;2017-11-27;22933;4,009;36,077
De Witte Juffer;2017-11-26;16676;2,915;26,234
De Witte Juffer;2017-11-25;6454;1,128;10,153
De Witte Juffer;2017-11-24;2060;0,36;3,241
De Witte Juffer;2017-11-23;34274;5,991;53,918
De Witte Juffer;2017-11-22;30623;5,353;48,175
De Witte Juffer;2017-11-21;18755;3,278;29,504
De Witte Juffer;2017-11-20;14836;2,593;23,339
De Witte Juffer;2017-11-19;10443;1,825;16,428
De Witte Juffer;2017-11-18;13081;2,286;20,578
De Witte Juffer;2017-11-17;2762;0,483;4,345
De Witte Juffer;2017-11-16;3941;0,689;6,2
De Witte Juffer;2017-11-15;1973;0,345;3,104
De Witte Juffer;2017-11-14;9012;1,575;14,177
De Witte Juffer;2017-11-13;7990;1,397;12,569
De Witte Juffer;2017-11-12;5837;1,02;9,182
De Witte Juffer;2017-11-11;7794;1,362;12,261
De Witte Juffer;2017-11-10;17451;3,05;27,453
De Witte Juffer;2017-11-09;5606;0,98;8,819
De Witte Juffer;2017-11-08;177;0,031;0,278
De Witte Juffer;2017-11-07;592;0,103;0,931
De Witte Juffer;2017-11-06;2540;0,444;3,996
De Witte Juffer;2017-11-05;4468;0,781;7,029
De Witte Juffer;2017-11-04;7524;1,315;11,836
De Witte Juffer;2017-11-03;1721;0,301;2,707
De Witte Juffer;2017-11-02;3273;0,572;5,149
De Witte Juffer;2017-11-01;6820;1,192;10,729
De Witte Juffer;2017-10-31;6492;1,135;10,213
De Witte Juffer;2017-10-30;4126;0,721;6,491
De Witte Juffer;2017-10-29;26862;4,695;42,258
De Witte Juffer;2017-10-28;21308;3,725;33,521
De Witte Juffer;2017-10-27;3800;0,664;5,978
De Witte Juffer;2017-10-26;2570;0,449;4,043
De Witte Juffer;2017-10-25;10795;1,887;16,982
De Witte Juffer;2017-10-24;12570;2,197;19,775
De Witte Juffer;2017-10-23;8418;1,471;13,243
De Witte Juffer;2017-10-22;20217;3,534;31,804
De Witte Juffer;2017-10-21;15718;2,747;24,727
De Witte Juffer;2017-10-20;24878;4,349;39,137
De Witte Juffer;2017-10-19;5822;1,018;9,159
De Witte Juffer;2017-10-18;1333;0,233;2,097
De Witte Juffer;2017-10-17;4453;0,778;7,005
De Witte Juffer;2017-10-16;8802;1,539;13,847
De Witte Juffer;2017-10-15;6835;1,195;10,752
De Witte Juffer;2017-10-14;5672;0,991;8,923
